,name,company,year,Price,kms_driven,fuel_type
0,Hyundai XO III,Hyundai,2007,80000,45000,Petrol
1,Mahindra MDI,Mahindra,2006,425000,40,Diesel
2,Hyundai Magna VTVT,Hyundai,2014,325000,28000,Petrol
3,Ford 1.5L,Ford,2014,575000,36000,Diesel
4,Ford,Ford,2012,175000,41000,Diesel
5,Hyundai,Hyundai,2013,190000,25000,Petrol
6,Ford 1.5L,Ford,2016,830000,24530,Diesel
7,Maruti K10,Maruti,2015,250000,60000,Petrol
8,Skoda 1.2,Skoda,2010,182000,60000,Petrol
9,Maruti VXi,Maruti,2015,315000,30000,Petrol
10,Hyundai Magna,Hyundai,2014,415000,32000,Petrol
11,Mahindra BS,Mahindra,2015,320000,48660,Diesel
12,Hyundai XO III,Hyundai,2007,80000,45000,Petrol
13,Mahindra MDI,Mahindra,2006,425000,40,Diesel
14,Audi,Audi,2017,1000000,4000,Petrol
15,Audi,Audi,2014,500000,16934,Diesel
16,Mahindra,Mahindra,2016,350000,43000,Diesel
17,Maruti 800,Maruti,2014,160000,35550,Petrol
18,Mahindra,Mahindra,2016,350000,43000,Diesel
19,Mahindra,Mahindra,2016,310000,39522,Diesel
20,Maruti 800,Maruti,2015,75000,39000,Petrol
21,Hyundai 1.2,Hyundai,2012,100000,55000,Petrol
22,Hyundai 1.2,Hyundai,2012,100000,55000,Petrol
23,Hyundai 1.2,Hyundai,2012,100000,55000,Petrol
24,Maruti 800,Maruti,2017,190000,72000,Petrol
25,Maruti Brezza,Maruti,2016,290000,15975,Diesel
26,Maruti LX,Maruti,2008,95000,70000,Petrol
27,Mahindra,Mahindra,2017,180000,23452,Diesel
28,Maruti Dzire,Maruti,2014,385000,35522,Diesel
29,Mahindra 4WD,Mahindra,2015,250000,48508,Diesel
30,Maruti Vdi,Maruti,2017,180000,15487,Petrol
31,Maruti R III,Maruti,2013,105000,39000,Petrol
32,Maruti R,Maruti,2013,105000,39000,Petrol
33,Toyota G BS,Toyota,2012,650000,82000,Diesel
34,Renault PS,Renault,2018,689999,20000,Diesel
35,Skoda 2.0 4x2,Skoda,2012,448000,68000,Diesel
36,Maruti Delta,Maruti,2017,549000,32000,Diesel
37,Renault PS Plus,Renault,2012,501000,38000,Diesel
38,Renault PS,Renault,2013,489999,27000,Diesel
39,Honda S,Honda,2011,280000,33000,Petrol
40,Maruti K10,Maruti,2015,250000,60000,Petrol
41,Maruti,Maruti,2013,349999,46000,Diesel
42,Honda,Honda,2013,284999,46000,Diesel
43,Honda SX,Honda,2015,345000,36000,Diesel
44,Honda,Honda,2015,499999,55000,Petrol
45,Datsun S,Datsun,2017,235000,16000,Petrol
46,Maruti ZXI,Maruti,2010,249999,36000,Petrol
47,Mitsubishi Limited,Mitsubishi,2015,1475000,47000,Diesel
48,Mahindra,Mahindra,2017,180000,23452,Diesel
49,Maruti Dzire,Maruti,2014,385000,35522,Diesel
50,Mahindra 4WD,Mahindra,2015,250000,48508,Diesel
51,Maruti Vdi,Maruti,2017,180000,15487,Petrol
52,Maruti R III,Maruti,2013,105000,39000,Petrol
53,Maruti R,Maruti,2013,105000,39000,Petrol
54,Mahindra,Mahindra,2015,395000,35000,Diesel
55,Maruti VXi BS,Maruti,2017,220000,30874,Petrol
56,Honda CVT,Honda,2017,170000,15000,Diesel
57,Maruti R IV,Maruti,2013,85000,29685,Petrol
58,Ford,Ford,2012,175000,41000,Diesel
59,Hyundai,Hyundai,2013,190000,25000,Petrol
60,Tata LS IV,Tata,2017,200000,130000,Diesel
61,Ford 1.5L,Ford,2016,830000,24530,Diesel
62,Tata LS IV,Tata,2017,200000,130000,Diesel
63,Mahindra BS,Mahindra,2012,570000,19000,Diesel
64,Volkswagen Exquisite,Volkswagen,2014,315000,60000,Petrol
65,Skoda 1.2,Skoda,2010,182000,60000,Petrol
66,Maruti VXi,Maruti,2015,315000,30000,Petrol
67,Chevrolet 1.0,Chevrolet,2010,110000,41000,Petrol
68,Renault Diesel,Renault,2012,501000,35000,Diesel
69,Honda,Honda,2015,448999,54000,Petrol
70,Mini 1.6,Mini,2013,1891111,13000,Petrol
71,Datsun S,Datsun,2017,235000,16000,Petrol
72,Skoda Diesel,Skoda,2011,159500,38200,Diesel
73,Honda,Honda,2015,344999,22000,Petrol
74,Honda,Honda,2015,344999,22000,Petrol
75,Renault,Renault,2014,449999,50000,Diesel
76,Mini 1.6,Mini,2013,1891111,13500,Petrol
77,Mahindra,Mahindra,2015,865000,30000,Diesel
78,Mahindra 2WD,Mahindra,2014,699000,50000,Diesel
79,Mahindra,Mahindra,2013,375000,20000,Diesel
80,Ford,Ford,2017,489999,39000,Petrol
81,Honda,Honda,2012,224999,30000,Petrol
82,Volkswagen Plus AT,Volkswagen,2019,1200000,3600,Diesel
83,Hyundai,Hyundai,2009,195000,32000,Petrol
84,Toyota Diesel,Toyota,2010,351000,38000,Diesel
85,Hyundai SX,Hyundai,2008,160000,45000,Petrol
86,Toyota Petrol,Toyota,2009,240000,35000,Petrol
87,Honda EXi,Honda,2005,90000,50000,Petrol
88,Hyundai Magna,Hyundai,2014,415000,32000,Petrol
89,Skoda Diesel,Skoda,2011,155000,45863,Diesel
90,BMW 320i,BMW,2011,600000,60500,Petrol
91,Maruti Star,Maruti,2011,189500,12500,Petrol
92,Toyota,Toyota,2013,350000,60000,Diesel
93,Ford EXI,Ford,2012,210000,35000,Diesel
94,Maruti Dzire BS,Maruti,2014,390000,35000,Petrol
95,Chevrolet Diesel,Chevrolet,2012,135000,45000,Diesel
96,BMW 740Li,BMW,2009,1600000,35000,Petrol
97,Mahindra AWD,Mahindra,2013,701000,38000,Diesel
98,Hyundai 1.2,Hyundai,2014,265000,18000,Petrol
99,Hyundai New,Hyundai,2015,525000,35000,Diesel
100,Maruti VXi IV,Maruti,2013,372000,13349,Petrol
101,Maruti ZXI,Maruti,2016,635000,29000,Petrol
102,Ford 1.5L,Ford,2014,550000,44000,Diesel
103,Maruti Vxi,Maruti,2016,575000,29000,Petrol
104,Maruti VDi,Maruti,2013,485000,42000,Diesel
105,Maruti LXi,Maruti,2012,155000,14000,Petrol
106,Hyundai Asta,Hyundai,2014,345000,49000,Diesel
107,Honda S,Honda,2014,325000,42000,Petrol
108,Hyundai 1.4 Speed,Hyundai,2012,329500,36200,Diesel
109,Ford EXI,Ford,2014,195000,50000,Diesel
110,Maruti 5 AC,Maruti,2015,251111,55000,Petrol
111,Maruti ZXi,Maruti,2014,569999,45000,Petrol
112,Maruti LXi,Maruti,2007,69999,51000,Petrol
113,Maruti VXI,Maruti,2014,299999,19000,Petrol
114,Maruti,Maruti,2009,220000,46000,Petrol
115,Maruti LDi,Maruti,2013,399999,33000,Diesel
116,Maruti VXi IV,Maruti,2013,372000,13349,Petrol
117,Maruti VDI,Maruti,2015,450000,104000,Diesel
118,Toyota G,Toyota,2014,270000,55000,Petrol
119,Hyundai 1.4,Hyundai,2011,350000,33333,Diesel
120,Chevrolet,Chevrolet,2012,158400,33600,Petrol
121,Maruti K10,Maruti,2017,350000,5600,Petrol
122,Nissan,Nissan,2011,179000,41000,Petrol
123,Maruti,Maruti,2007,125000,70000,Petrol
124,Maruti 800,Maruti,2018,200000,7500,Petrol
125,Honda S,Honda,2013,299000,45000,Diesel
126,Maruti 800,Maruti,2015,220000,38000,Petrol
127,Chevrolet,Chevrolet,2015,150000,30000,Petrol
128,Honda V,Honda,2010,285000,35000,Petrol
129,Ford 1.5L,Ford,2016,830000,24330,Diesel
130,Hyundai 1.2,Hyundai,2009,210000,65480,Petrol
131,Maruti Dzire BS,Maruti,2013,340000,41000,Petrol
132,Tata eLS,Tata,2006,90000,20000,Petrol
133,Hindustan,Hindustan,2000,70000,200000,Diesel
134,Toyota 1.8,Toyota,2010,289999,70000,Petrol
135,Toyota 1.8,Toyota,2012,349999,59000,Petrol
136,Toyota GX 7,Toyota,2012,849999,99000,Diesel
137,Volkswagen TDI,Volkswagen,2014,749999,46000,Diesel
138,Volkswagen 1.2L,Volkswagen,2015,399999,2800,Petrol
139,Volkswagen,Volkswagen,2014,274999,32000,Petrol
140,Mahindra,Mahindra,2015,984999,22000,Diesel
141,Renault,Renault,2014,449999,50000,Diesel
142,Honda,Honda,2015,344999,22000,Petrol
143,Nissan,Nissan,2012,224999,45000,Petrol
144,Hyundai,Hyundai,2018,599999,21000,Petrol
145,Renault,Renault,2016,244999,11000,Petrol
146,Renault,Renault,2013,399999,41000,Diesel
147,Ford,Ford,2017,489999,39000,Petrol
148,Renault,Renault,2014,474999,50000,Diesel
149,Mahindra Airbag,Mahindra,2011,499999,66000,Diesel
150,Maruti 800,Maruti,2018,310000,3000,Petrol
151,Chevrolet 1.0,Chevrolet,2010,85000,45000,Petrol
152,Datsun T,Datsun,2016,245000,7000,Petrol
153,Maruti RS,Maruti,2010,189500,38500,Diesel
154,Fiat 1.2,Fiat,2012,169500,37200,Diesel
155,Maruti RS,Maruti,2010,159500,43200,Diesel
156,Toyota,Toyota,2013,275000,24800,Petrol
157,Hyundai 1.4,Hyundai,2014,370000,60000,Diesel
158,Hyundai 1.2,Hyundai,2010,168000,45872,Petrol
159,Chevrolet Opt,Chevrolet,2011,150000,40000,Diesel
160,Chevrolet Diesel,Chevrolet,2011,145000,45000,Diesel
161,Chevrolet Diesel,Chevrolet,2012,98500,38000,Diesel
162,Mahindra 2WD,Mahindra,2014,699000,50000,Diesel
163,Tata,Tata,2011,85000,11400,Diesel
164,Toyota 1.8,Toyota,2015,575000,42000,Petrol
165,Honda V,Honda,2014,549000,39000,Petrol
166,Maruti VDi,Maruti,2011,209000,47000,Diesel
167,Hyundai Plus,Hyundai,2013,185000,27000,Petrol
168,Mahindra,Mahindra,2015,900000,97200,Diesel
169,Mahindra,Mahindra,2014,699999,52000,Diesel
170,Honda,Honda,2012,224999,30000,Petrol
171,Ford,Ford,2011,274999,55000,Diesel
172,Honda,Honda,2013,284999,46000,Diesel
173,Honda,Honda,2015,599999,30000,Diesel
174,Maruti R,Maruti,2012,199999,44000,Petrol
175,Honda,Honda,2014,544999,45000,Diesel
176,Hyundai,Hyundai,2009,199000,31000,Petrol
177,Tata LX III,Tata,2016,320000,175430,Diesel
178,Hyundai 1.6,Hyundai,2015,540000,38000,Diesel
179,Mahindra,Mahindra,2013,340000,37000,Diesel
180,Fiat 1.2,Fiat,2008,75000,65000,Petrol
181,Skoda Diesel,Skoda,2011,159500,38200,Diesel
182,Mini 1.6,Mini,2013,1891111,13000,Petrol
183,Hyundai XS,Hyundai,2005,49000,7500,Petrol
184,Maruti VXi,Maruti,2016,700000,3350,Petrol
185,Maruti VX,Maruti,2000,55000,60000,Petrol
186,Honda,Honda,2015,448999,54000,Petrol
187,Hyundai SX,Hyundai,2017,895000,32000,Petrol
188,Mahindra,Mahindra,2007,355000,75000,Diesel
189,Mahindra BS,Mahindra,2012,565000,62000,Diesel
190,Toyota G 8,Toyota,2006,365000,73000,Diesel
191,Maruti K10,Maruti,2011,145000,41000,Petrol
192,Maruti R IV,Maruti,2011,210000,35000,Petrol
193,Tata BSIV,Tata,2013,40000,2200,Petrol
194,Maruti Std,Maruti,2013,125000,39000,Petrol
195,Maruti R III,Maruti,2009,135000,45000,Petrol
196,Maruti VXI,Maruti,2006,135000,45000,Petrol
197,Tata EX 7,Tata,2012,285000,65000,Diesel
198,Maruti R III,Maruti,2010,145000,54870,Petrol
199,Maruti LXi,Maruti,2010,135000,34580,Petrol
200,Volkswagen Comfortline,Volkswagen,2009,450000,97000,Diesel
201,Renault Diesel,Renault,2015,375000,25000,Diesel
202,Mahindra,Mahindra,2013,375000,20000,Diesel
203,Hyundai Sportz Kappa,Hyundai,2014,365000,20000,Petrol
204,Hyundai 1.2,Hyundai,2015,500000,18000,Petrol
205,Mahindra,Mahindra,2012,400000,35000,Diesel
206,Mahindra 550,Mahindra,2019,390000,60,Diesel
207,Renault Diesel,Renault,2012,501000,35000,Diesel
208,Mahindra BS,Mahindra,2013,330000,80200,Diesel
209,Force One 7,Force,2015,580000,3200,Diesel
210,Maruti,Maruti,2012,265000,46000,Diesel
211,Mahindra MDI,Mahindra,2019,379000,0,Diesel
212,Maruti 800,Maruti,2015,219000,5000,Petrol
213,Mahindra MDI,Mahindra,2018,385000,588,Diesel
214,Toyota,Toyota,2011,275000,36000,Diesel
215,Volkswagen,Volkswagen,2015,330000,38000,Diesel
216,Honda VTEC,Honda,2008,110000,45000,Petrol
217,Maruti R III,Maruti,2006,80000,71200,Petrol
218,Honda O,Honda,2016,519000,52000,Diesel
219,Mahindra 4x4,Mahindra,2016,730000,29000,Diesel
220,Mitsubishi Limited,Mitsubishi,2015,1475000,47000,Diesel
221,Audi TFSI Plus,Audi,2009,699000,47000,Petrol
222,Mercedes Class Sport,Mercedes,2015,2000000,20000,Diesel
223,Land 2,Land,2015,2100000,30000,Diesel
224,Renault,Renault,2017,340000,5000,Petrol
225,Tata 4X2,Tata,2014,390000,35000,Diesel
226,Mercedes Class,Mercedes,2014,1400000,31000,Petrol
227,Datsun O,Datsun,2016,245000,7000,Petrol
228,Tata LX III,Tata,2016,320000,175430,Diesel
229,Tata LX III,Tata,2016,320000,175400,Diesel
230,Honda MT,Honda,2016,450000,41000,Petrol
231,Honda S,Honda,2014,311000,33000,Petrol
232,Honda,Honda,2013,284999,46000,Diesel
233,Honda,Honda,2012,399999,45000,Petrol
234,Honda,Honda,2015,599999,39000,Diesel
235,Honda,Honda,2015,344999,22000,Petrol
236,Audi TFSI Plus,Audi,2009,699000,47000,Petrol
237,Force One 7,Force,2015,580000,3200,Diesel
238,Mahindra,Mahindra,2015,855000,30000,Diesel
239,Hyundai 1.4L,Hyundai,2015,535000,37000,Diesel
240,Mini,Mini,2013,1891111,13000,Petrol
241,Maruti ZXI,Maruti,2017,699000,14000,Petrol
242,Chevrolet,Chevrolet,2013,375000,55000,Diesel
243,Honda,Honda,2013,284999,46000,Diesel
244,Hyundai,Hyundai,2012,178000,30000,Petrol
245,Tata Select,Tata,2013,300000,50000,Diesel
246,Maruti R,Maruti,2003,90000,45000,Petrol
247,Maruti VXi,Maruti,2006,95000,45000,Petrol
248,Maruti 5 AC,Maruti,2015,255000,9300,Petrol
249,Chevrolet LS,Chevrolet,2013,245000,55000,Diesel
250,Hyundai 1.4 Speed,Hyundai,2012,329500,36200,Diesel
251,Ford EXI,Ford,2014,195000,50000,Diesel
252,Maruti 5 AC,Maruti,2015,251111,55000,Petrol
253,Maruti ZXi,Maruti,2014,569999,45000,Petrol
254,Maruti LXi,Maruti,2007,69999,51000,Petrol
255,Maruti VXI,Maruti,2014,299999,19000,Petrol
256,Maruti,Maruti,2009,220000,46000,Petrol
257,Maruti LDi,Maruti,2013,399999,33000,Diesel
258,Maruti ZXI,Maruti,2010,249999,36000,Petrol
259,Maruti R,Maruti,2015,289999,22000,Petrol
260,Mini 1.6,Mini,2013,1891111,13500,Petrol
261,Nissan D,Nissan,2015,499999,60000,Diesel
262,Renault PS,Renault,2013,489999,27000,Diesel
263,Renault PS,Renault,2014,489999,59000,Diesel
264,Renault PS,Renault,2015,549999,19000,Diesel
265,Maruti ZXI,Maruti,2013,380000,30000,Petrol
266,Renault Opt,Renault,2018,325000,15000,Petrol
267,Maruti 800,Maruti,2003,57000,56758,Petrol
268,Renault RXT,Renault,2018,349999,10000,Petrol
269,Renault PS,Renault,2018,689999,20000,Diesel
270,Renault Diesel,Renault,2014,349999,49000,Diesel
271,Hyundai Asta VTVT,Hyundai,2014,410000,41000,Petrol
272,Maruti Dzire BS,Maruti,2011,225000,45000,Petrol
273,Chevrolet Petrol,Chevrolet,2010,120000,43000,Petrol
274,Tata LX III,Tata,2016,320000,175430,Diesel
275,Hyundai XO III,Hyundai,2000,59000,56450,Petrol
276,Hyundai 1.6,Hyundai,2015,540000,38000,Diesel
277,Chevrolet Petrol,Chevrolet,2010,80000,56000,Petrol
278,Mahindra,Mahindra,2013,340000,37000,Diesel
279,Fiat 1.2,Fiat,2008,75000,65000,Petrol
280,Chevrolet Petrol,Chevrolet,2015,220000,32700,Petrol
281,Skoda Diesel,Skoda,2011,159500,38200,Diesel
282,Ford 1.5L,Ford,2016,599000,30000,Diesel
283,Hyundai,Hyundai,2006,80000,56000,Petrol
284,Mahindra Plus,Mahindra,2016,675000,9000,Diesel
285,Mini 1.6,Mini,2013,1891111,13000,Petrol
286,Mini 1.6,Mini,2013,1891111,13000,Petrol
287,Tata Xeta,Tata,2008,150000,11000,Petrol
288,Mini,Mini,2013,1891111,13000,Petrol
289,Tata LS,Tata,2009,72500,46000,Diesel
290,Maruti VXi BS,Maruti,2019,610000,73,Petrol
291,Mahindra Special III,Mahindra,2004,230000,160000,Diesel
292,Honda,Honda,2009,175000,58559,Petrol
293,Mahindra,Mahindra,2015,855000,30000,Diesel
294,Chevrolet,Chevrolet,2013,375000,55000,Diesel
295,Ford 1.5,Ford,2014,520000,57000,Diesel
296,Maruti,Maruti,2015,524999,50000,Diesel
297,Honda,Honda,2014,299999,37000,Petrol
298,Maruti,Maruti,2012,299999,40000,Petrol
299,Honda,Honda,2011,284999,55000,Petrol
300,Mahindra CRDe,Mahindra,2007,220000,170000,Diesel
301,Maruti,Maruti,2014,424999,55000,Diesel
302,Honda,Honda,2015,644999,39000,Petrol
303,Honda,Honda,2014,399999,44000,Petrol
304,Toyota,Toyota,2009,199999,65000,Petrol
305,Honda,Honda,2014,584999,39000,Petrol
306,Skoda,Skoda,2012,349999,44000,Diesel
307,Renault,Renault,2015,449999,49000,Diesel
308,Maruti,Maruti,2018,799999,9000,Diesel
309,Maruti,Maruti,2015,444999,45000,Diesel
310,Mahindra,Mahindra,2014,649999,47000,Diesel
311,Hyundai,Hyundai,2012,444999,40000,Diesel
312,Maruti Brezza,Maruti,2016,689999,29000,Diesel
313,Maruti R,Maruti,2016,344999,15000,Petrol
314,Mahindra,Mahindra,2015,944999,45000,Diesel
315,Honda,Honda,2014,274999,35000,Petrol
316,Mahindra,Mahindra,2013,689999,80000,Diesel
317,Mahindra,Mahindra,2013,574999,68000,Diesel
318,Skoda,Skoda,2013,374999,50000,Diesel
319,Volkswagen,Volkswagen,2010,199999,60000,Diesel
320,Hyundai,Hyundai,2016,549999,9000,Petrol
321,Tata Quadrajet,Tata,2012,130000,72000,Diesel
322,Chevrolet Petrol,Chevrolet,2013,210000,60000,Petrol
323,Renault PS Plus,Renault,2012,501000,38000,Diesel
324,Hyundai 1.6,Hyundai,2013,401000,45000,Diesel
325,Audi TDI,Audi,2012,1350000,40000,Diesel
326,Hyundai,Hyundai,2013,600000,20000,Petrol
327,Mahindra 4WD,Mahindra,2013,610000,35000,Diesel
328,Mahindra D,Mahindra,2016,400000,20000,Diesel
329,Renault Diesel,Renault,2015,375000,25000,Diesel
330,Mahindra,Mahindra,2013,375000,20000,Diesel
331,Hyundai Sportz Kappa,Hyundai,2014,365000,20000,Petrol
332,Hyundai 1.2,Hyundai,2015,500000,18000,Petrol
333,Mahindra,Mahindra,2012,400000,35000,Diesel
334,Hyundai,Hyundai,2017,524999,6821,Petrol
335,Hyundai,Hyundai,2014,449999,23000,Petrol
336,Hyundai,Hyundai,2014,174999,14000,Petrol
337,Hyundai,Hyundai,2012,244999,38000,Petrol
338,Hyundai,Hyundai,2015,574999,35000,Diesel
339,Datsun,Datsun,2017,244999,22000,Petrol
340,Toyota,Toyota,2011,239999,41000,Petrol
341,Hyundai,Hyundai,2010,99999,45000,Petrol
342,Hyundai,Hyundai,2014,489999,44000,Diesel
343,Maruti,Maruti,2013,324999,45000,Diesel
344,Toyota,Toyota,2011,1074999,52000,Diesel
345,Hyundai,Hyundai,2012,230000,34000,Petrol
346,Mahindra Plus,Mahindra,2018,699000,1800,Diesel
347,Mahindra,Mahindra,2015,1000000,15000,Diesel
348,Honda V,Honda,2010,240000,400000,Petrol
349,Chevrolet 1.0,Chevrolet,2009,110000,44000,Petrol
350,Mahindra 550,Mahindra,2019,390000,60,Diesel
351,Renault Diesel,Renault,2012,501000,35000,Diesel
352,Mahindra,Mahindra,2016,1130000,72000,Diesel
353,Tata VX IV,Tata,2014,250000,40000,Diesel
354,Mahindra BS,Mahindra,2013,330000,80200,Diesel
355,Force One 7,Force,2015,580000,3200,Diesel
356,Skoda 1.6 MT,Skoda,2013,340000,48000,Diesel
357,Tata VX,Tata,2011,120000,90000,Diesel
358,Maruti K10,Maruti,2015,265000,12000,Petrol
359,Maruti,Maruti,2012,265000,46000,Diesel
360,Maruti LXi,Maruti,2003,85000,69900,Petrol
361,Mahindra MDI,Mahindra,2019,379000,0,Diesel
362,Hyundai 1.2,Hyundai,2011,175000,45000,Petrol
363,Maruti 800,Maruti,2015,219000,5000,Petrol
364,Maruti Dzire,Maruti,2016,350000,166000,Diesel
365,Honda EXi,Honda,2008,149000,42000,Petrol
366,Mahindra MDI,Mahindra,2018,385000,588,Diesel
367,Mahindra 550,Mahindra,2006,425000,122,Diesel
368,Chevrolet,Chevrolet,2017,150000,62000,Diesel
369,Honda S,Honda,2010,225000,70000,Petrol
370,Hyundai VTVT,Hyundai,2014,375000,36000,Petrol
371,Toyota E STR,Toyota,2012,770000,0,Diesel
372,Maruti 800 Befo,Maruti,1995,30000,55000,Petrol
373,Toyota,Toyota,2011,275000,36000,Diesel
374,Volkswagen,Volkswagen,2015,330000,38000,Diesel
375,Maruti,Maruti,2014,335000,55000,Diesel
376,Hyundai Asta,Hyundai,2015,450000,20000,Diesel
377,Maruti Dzire BS,Maruti,2012,225000,40000,Petrol
378,Maruti DX2 BSIII,Maruti,2004,80000,50000,Petrol
379,Tata TDI,Tata,2016,130000,104000,Diesel
380,Volkswagen Diesel,Volkswagen,2011,245000,65000,Diesel
381,Mercedes Class Classic,Mercedes,2002,399000,41000,Petrol
382,Maruti VDi,Maruti,2013,450000,90000,Diesel
383,Honda,Honda,2000,65000,80000,Petrol
384,Hyundai GLS,Hyundai,2006,75000,46000,Petrol
385,Maruti Limited,Maruti,2001,70000,70000,Petrol
386,Hyundai 2.4,Hyundai,2017,190000,36469,Diesel
387,Hyundai Sportz,Hyundai,2018,600000,7800,Petrol
388,Volkswagen Diesel,Volkswagen,2011,245000,65000,Diesel
389,Maruti 800,Maruti,2017,240000,60000,Petrol
390,Maruti LXi,Maruti,2011,155000,32000,Petrol
391,Honda MT,Honda,2009,169999,24695,Petrol
392,Hyundai Sportz VTVT,Hyundai,2017,450000,15141,Petrol
393,Maruti LXi,Maruti,2001,40000,40000,Petrol
394,Mahindra Turbo Seater,Mahindra,2012,165000,65000,Diesel
395,Maruti K10,Maruti,2014,270000,22000,Petrol
396,Hyundai Asta VTVT,Hyundai,2016,280000,59910,Diesel
397,Mahindra,Mahindra,2012,560000,100000,Diesel
398,Hyundai SX,Hyundai,2016,950000,25000,Petrol
399,Hyundai O,Hyundai,2013,310000,35000,Petrol
400,Renault PS LE,Renault,2015,715000,65000,Diesel
401,Hyundai Sportz VTVT,Hyundai,2014,340000,35000,Petrol
402,Honda MT,Honda,2012,235000,33000,Petrol
403,Mahindra Plus,Mahindra,2017,610000,68000,Diesel
404,Chevrolet 1.0,Chevrolet,2010,95000,23000,Petrol
405,Mahindra,Mahindra,2018,1000000,4500,Diesel
406,Maruti Dzire,Maruti,2015,220000,129000,Diesel
407,Nissan Select,Nissan,2019,1200000,300,Diesel
