,name,company,year,Price,kms_driven,fuel_type
408,Maruti 800,Maruti,2015,230000,5000,Petrol
409,Ford CLXi,Ford,2001,45000,65000,Petrol
410,Toyota 4x4,Toyota,2010,940000,131000,Diesel
411,Tata Quadrajet,Tata,2010,155555,111111,Petrol
412,Mercedes Class Sport,Mercedes,2013,1500000,14000,Petrol
413,Chevrolet Diesel,Chevrolet,2016,210000,22000,Diesel
414,Ford 1.5L,Ford,2013,495000,38000,Diesel
415,Tata,Tata,2016,125000,70000,Diesel
416,Hyundai 1.2,Hyundai,2010,195000,36000,Petrol
417,Volkswagen Plus AT,Volkswagen,2015,550000,34000,Diesel
418,Renault,Renault,2015,270000,43000,Petrol
419,Ford 1.5L,Ford,2014,500000,40000,Diesel
420,Honda E,Honda,2016,240000,160000,Diesel
421,Hyundai EX,Hyundai,2017,800000,12000,Petrol
422,BMW 520d,BMW,2011,1299000,49000,Diesel
423,Skoda TFSI,Skoda,2011,530000,68000,Petrol
424,Audi TDI,Audi,2013,1499000,37000,Diesel
425,Mahindra BSII,Mahindra,2012,220000,59466,Diesel
426,Mahindra,Mahindra,2015,900000,97200,Diesel
427,Ford Diesel,Ford,2012,250000,99000,Diesel
428,Maruti R IV,Maruti,2018,395000,25500,Petrol
429,Mahindra 1.5,Mahindra,2009,130000,66000,Petrol
430,Tata XMA,Tata,2010,32000,44005,Petrol
431,Mahindra Plus,Mahindra,2016,540000,35000,Diesel
432,Mahindra Plus,Mahindra,2016,540000,35000,Diesel
433,Hyundai Magna,Hyundai,2015,405000,28000,Petrol
434,Hyundai Magna,Hyundai,2015,400000,30000,Petrol
435,Honda,Honda,2017,760000,4000,Petrol
436,Maruti Delta,Maruti,2016,500000,28000,Petrol
437,Ford LXI,Ford,2011,175000,75000,Petrol
438,Mahindra,Mahindra,2015,900000,97200,Diesel
439,Honda,Honda,2017,750000,3000,Petrol
440,Hyundai Magna,Hyundai,2015,419000,20000,Petrol
441,Maruti DX2 BSIII,Maruti,2004,90000,50000,Petrol
442,Hyundai Plus,Hyundai,2018,140000,2110,Petrol
443,Mitsubishi Limited,Mitsubishi,2015,1540000,43222,Petrol
444,Hyundai 1.2,Hyundai,2008,275000,100200,Petrol
445,Toyota,Toyota,2003,150000,100000,Petrol
446,Maruti Dzire,Maruti,2011,230000,65,Petrol
447,Tata eLS,Tata,2015,123000,100000,Diesel
448,Mahindra,Mahindra,2015,900000,97200,Diesel
449,Mahindra,Mahindra,2015,900000,97200,Diesel
450,Hyundai 1.1,Hyundai,2016,300000,140000,Diesel
451,Honda,Honda,2015,499999,55000,Petrol
452,Hyundai Edition,Hyundai,2009,165000,48000,Petrol
453,Maruti Delta,Maruti,2016,498000,22000,Petrol
454,Tata 75,Tata,2018,480000,103553,Diesel
455,Maruti LDI,Maruti,2017,488000,80000,Diesel
456,Tata LX,Tata,2014,250000,99000,Diesel
457,Toyota GL,Toyota,2010,220000,58000,Petrol
458,Maruti 7,Maruti,2013,290000,70000,LPG
459,Toyota 4x2,Toyota,2015,1525000,120000,Diesel
460,Mahindra,Mahindra,2013,548900,49800,Diesel
461,Tata XZ,Tata,2019,650000,100,Diesel
462,Maruti,Maruti,2001,55000,81876,Petrol
463,Maruti Vxi,Maruti,2015,550000,75000,Petrol
464,Maruti DX2 BSIII,Maruti,2004,90000,50000,Petrol
465,Honda i,Honda,2014,399000,44000,Diesel
466,Maruti,Maruti,2016,730000,55000,Diesel
467,Maruti Brezza,Maruti,2017,725000,36000,Diesel
468,Hyundai CRDI,Hyundai,2016,195000,56000,Diesel
469,Maruti VXI,Maruti,2007,130000,62000,Petrol
470,Toyota 4x2,Toyota,2015,1525000,120000,Diesel
471,Maruti Select,Maruti,2014,190000,6020,Petrol
472,Honda,Honda,2013,250000,55700,Diesel
473,Tata,Tata,2005,80000,42000,Petrol
474,Hyundai,Hyundai,2003,120000,50000,Petrol
475,Maruti Estilo,Maruti,2010,149000,35000,Petrol
476,Maruti R IV,Maruti,2014,250000,18500,Petrol
477,Maruti R,Maruti,2007,120000,7000,Petrol
478,Honda AT,Honda,2017,450000,11000,Petrol
479,Maruti LXi,Maruti,2003,99999,53000,Petrol
480,Maruti Estilo CNG,Maruti,2008,135000,23000,Petrol
481,Maruti R,Maruti,2016,225000,35500,Diesel
482,Maruti LXi,Maruti,2010,99000,22134,Petrol
483,Renault,Renault,2019,370000,1000,Petrol
484,Tata BSIV,Tata,2010,52000,9000,Petrol
485,Jaguar Portfolio,Jaguar,2016,2800000,8500,Petrol
486,Hyundai Plus,Hyundai,2014,190000,35000,Petrol
487,Honda S,Honda,2014,499000,22000,Petrol
488,Hindustan,Hindustan,2002,90000,25000,Diesel
489,Maruti GENUS,Maruti,2010,149000,40000,Petrol
490,Hyundai Magna Kappa,Hyundai,2017,400000,20000,Petrol
491,Hyundai Lite,Hyundai,2016,120000,87000,Petrol
492,Maruti Dzire BS,Maruti,2015,250000,55000,Petrol
493,Maruti R IV,Maruti,2017,375000,23000,Petrol
494,Honda VX,Honda,2014,381000,6000,Petrol
495,Maruti VXi IV,Maruti,2013,180000,65000,Petrol
496,Maruti Brezza,Maruti,2016,580000,25000,Diesel
497,Maruti 5 AC,Maruti,2015,278000,39000,Petrol
498,Hyundai SX AT,Hyundai,2016,1000000,8000,Petrol
499,Mahindra BSIV,Mahindra,2013,690000,75000,Diesel
500,Maruti VDi,Maruti,2012,480000,51000,Diesel
501,Mitsubishi LXi,Mitsubishi,2006,85000,50000,Petrol
502,Maruti 800,Maruti,2001,40000,75000,Petrol
503,Maruti 800 O,Maruti,2015,90000,55800,Petrol
504,Hyundai Magna VTVT,Hyundai,2015,340000,53000,Petrol
505,Hyundai Lite,Hyundai,2018,260000,25000,Petrol
506,Ford 1.6,Ford,2009,250000,56400,Petrol
507,Maruti VDi,Maruti,2010,180000,72160,Diesel
508,Hyundai New,Hyundai,2012,350000,10000,Diesel
509,Maruti R III,Maruti,2006,90001,48000,Petrol
510,Maruti LX,Maruti,2007,115000,36000,Petrol
511,Audi TDI,Audi,2012,1599000,11500,Diesel
512,Maruti R III,Maruti,2003,130000,133000,Petrol
513,Maruti R,Maruti,2009,159000,27000,Petrol
514,Maruti R,Maruti,2009,160000,35000,Petrol
515,Maruti,Maruti,2010,110000,55000,Petrol
516,Maruti Sigma,Maruti,2016,425000,40000,Petrol
517,Hyundai SX,Hyundai,2019,900000,2000,Petrol
518,Maruti GLAM,Maruti,2009,150000,45000,Petrol
519,Hyundai 1.3,Hyundai,2009,110000,20000,Petrol
520,Hyundai,Hyundai,2000,51999,88000,Petrol
521,Hyundai 1.3,Hyundai,2009,115000,20000,Petrol
522,Chevrolet Diesel,Chevrolet,2012,215000,65422,Diesel
523,Ford 1.5,Ford,2017,580000,10000,Petrol
524,Maruti ZXI,Maruti,2013,380000,35000,Petrol
525,Hyundai 1.6,Hyundai,2013,350000,117000,Diesel
526,Tata DLG,Tata,2005,35000,150000,Diesel
527,BMW xLine,BMW,2011,1150000,72000,Diesel
528,Hyundai 1.2,Hyundai,2010,300000,10750,Petrol
529,Honda V,Honda,2009,269000,55000,Petrol
530,Tata,Tata,2013,60000,6800,Petrol
531,Chevrolet AT,Chevrolet,2014,400000,41000,Diesel
532,Hyundai New,Hyundai,2015,430000,73000,Diesel
533,Maruti Dzire,Maruti,2011,140000,65000,Diesel
534,Mahindra,Mahindra,2018,1299000,40000,Diesel
535,Maruti K10,Maruti,2014,199000,37000,Petrol
536,Hyundai,Hyundai,2006,90000,55000,Petrol
537,Force SUV,Force,2013,550000,140000,Diesel
538,Maruti,Maruti,2019,265000,9800,Petrol
539,Chevrolet LT,Chevrolet,2011,100000,27000,Petrol
540,Hyundai,Hyundai,2009,215000,27000,Petrol
541,Toyota GD,Toyota,2012,380000,20000,Diesel
542,Renault Diesel with,Renault,2013,401919,57923,Diesel
543,Chevrolet,Chevrolet,2014,490000,30201,Diesel
544,Maruti 800,Maruti,2017,280000,6200,Petrol
545,BMW 530i,BMW,2009,650000,37518,Petrol
546,Toyota G,Toyota,2014,160000,24652,Petrol
547,Mahindra 550,Mahindra,2004,424000,383,Diesel
548,Chevrolet Diesel,Chevrolet,2016,225000,95000,Diesel
549,Chevrolet,Chevrolet,2011,350000,35000,Diesel
550,Jeep 4x4,Jeep,2015,950000,3528,Diesel
551,Maruti VDi,Maruti,2013,485000,52500,Diesel
552,Hyundai CRDi,Hyundai,2010,205000,47900,Diesel
553,Maruti,Maruti,2012,160000,14000,Petrol
554,Maruti VDi,Maruti,2018,310000,37000,Petrol
555,Tata 1.3,Tata,2017,180000,90000,Diesel
556,Mahindra,Mahindra,2013,549900,52800,Diesel
557,Tata eLX,Tata,2016,150000,104000,Diesel
558,Hyundai,Hyundai,2011,175000,30000,Petrol
559,Tata LX III,Tata,2014,95000,195000,Diesel
560,Tata TDI,Tata,2016,230000,104000,Diesel
561,Tata LX IV,Tata,2016,230000,104000,Diesel
562,Tata LS,Tata,2004,180000,70000,Diesel
563,Hyundai 1.2,Hyundai,2015,400000,43000,Diesel
564,Hyundai Plus,Hyundai,2013,185000,23000,Petrol
565,Renault PS,Renault,2015,385000,51000,Diesel
566,Maruti K10,Maruti,2009,90000,62000,Petrol
567,Tata Special,Tata,2010,32000,48008,Petrol
568,Renault PS,Renault,2013,435000,39000,Diesel
569,Maruti R,Maruti,2010,225000,40000,Petrol
570,Maruti,Maruti,2006,189700,48247,Petrol
571,Maruti,Maruti,2012,389700,39000,Diesel
572,Maruti VXi BS,Maruti,2014,365000,23000,Petrol
573,Maruti K10,Maruti,2017,360000,9400,Petrol
574,Hyundai,Hyundai,2010,210000,50000,Petrol
575,Hyundai 1.2,Hyundai,2009,170000,75000,Petrol
576,Tata 75,Tata,2017,380000,70000,Diesel
577,Mahindra,Mahindra,2009,295000,64000,Diesel
578,Toyota GL,Toyota,2010,185000,55000,Petrol
579,Tata Quadrajet,Tata,2014,160000,200000,Diesel
580,Renault,Renault,2018,290000,2137,Petrol
581,Tata 8,Tata,2013,100000,30000,Diesel
582,Maruti Dzire,Maruti,2014,315000,44000,Petrol
583,Skoda 1.9,Skoda,2006,114990,65000,Diesel
584,Maruti LPG,Maruti,2012,120000,160000,LPG
585,Chevrolet,Chevrolet,2011,125000,56000,Diesel
586,Tata EX,Tata,2012,210000,75000,Diesel
587,Hyundai CRDI,Hyundai,2018,855000,42000,Diesel
588,Tata EX,Tata,2012,210000,75000,Diesel
589,Mahindra CRDe,Mahindra,2007,260000,56000,Diesel
590,Maruti LXi,Maruti,2002,95000,10544,Petrol
591,Maruti Dzire BS,Maruti,2011,255000,64000,Petrol
592,Mahindra 2.6 Str,Mahindra,2008,300000,70000,Diesel
593,Hyundai Sportz VTVT,Hyundai,2014,340000,25000,Petrol
594,Hyundai Sportz,Hyundai,2017,550000,15000,Petrol
595,Ford Nxt,Ford,2003,60000,50000,Petrol
596,Toyota V,Toyota,2011,750000,147000,Diesel
597,Nissan,Nissan,2011,230000,52000,Petrol
598,Chevrolet Diesel,Chevrolet,2012,130000,90001,Diesel
599,Maruti 800,Maruti,2017,270000,21000,Petrol
600,Maruti VDi,Maruti,2012,280000,48006,Diesel
601,Maruti VDi,Maruti,2012,280000,48006,Diesel
602,Maruti,Maruti,2012,280000,48006,Diesel
603,Toyota G4,Toyota,2012,600000,80000,Diesel
604,Maruti VDi,Maruti,2010,190000,74000,Diesel
605,Hyundai Asta,Hyundai,2015,500000,22000,Petrol
606,Mahindra,Mahindra,2016,1065000,41000,Diesel
607,Volkswagen 1.5L,Volkswagen,2015,350000,25000,Diesel
608,Toyota Diesel,Toyota,2012,350000,85000,Diesel
609,Mahindra Plus,Mahindra,2016,540000,29500,Diesel
610,Hyundai Asta,Hyundai,2015,470000,30000,Petrol
611,Hyundai GLS,Hyundai,2014,179000,57000,Petrol
612,Maruti LXi,Maruti,2003,48000,60000,Petrol
613,Maruti ZXi,Maruti,2016,650000,50000,Petrol
614,Hyundai Plus,Hyundai,2013,190000,39700,Petrol
615,Hyundai S,Hyundai,2012,500000,65000,Petrol
616,Maruti VDi,Maruti,2010,270000,67000,Diesel
617,Maruti Estilo CNG,Maruti,2008,125000,46000,Petrol
618,Hyundai Plus,Hyundai,2012,188000,38000,Petrol
619,Hyundai Magna VTVT,Hyundai,2016,380000,27000,Petrol
620,Hyundai New,Hyundai,2011,365000,43000,Diesel
621,Ford 1.5L,Ford,2014,465000,47000,Petrol
622,Hyundai,Hyundai,2011,240000,42000,Petrol
623,Chevrolet,Chevrolet,2016,179999,19336,Diesel
624,Tata LS,Tata,2015,140000,60105,Diesel
625,Jaguar Diesel,Jaguar,2013,2190000,29000,Diesel
626,Audi TDI Plus,Audi,2014,2390000,34000,Diesel
627,BMW 320d,BMW,2011,1075000,35000,Diesel
628,Maruti ZXi IV,Maruti,2015,475000,22000,Petrol
629,BMW,BMW,2012,1025000,41000,Diesel
630,Maruti Cross,Maruti,2016,615000,21000,Diesel
631,Maruti LDi,Maruti,2013,475000,48000,Diesel
632,Maruti K10,Maruti,2016,270000,38000,Petrol
633,Honda,Honda,2014,475000,34000,Diesel
634,Volkswagen Petrol,Volkswagen,2011,240000,45933,Petrol
635,Honda EXi,Honda,2005,120000,68000,Petrol
636,Audi TDI,Audi,2016,1900000,44000,Diesel
637,Mahindra,Mahindra,2017,360000,35000,Diesel
638,Tata 75,Tata,2018,450000,102563,Diesel
639,Mahindra,Mahindra,2015,900000,28600,Diesel
640,Maruti Dzire,Maruti,2017,650000,41800,Diesel
641,Tata LX,Tata,2014,275000,116000,Diesel
642,Maruti Dzire BS,Maruti,2009,210000,59000,Petrol
643,Mahindra SLX,Mahindra,2004,175000,58000,Diesel
644,Maruti 8 III,Maruti,2009,85000,45000,Petrol
645,Mitsubishi Limited,Mitsubishi,2015,1490000,42590,Diesel
646,Renault,Renault,2014,800000,7400,Diesel
647,Volkswagen 1.9,Volkswagen,2009,450000,54500,Diesel
648,Maruti Vxi,Maruti,2012,1000000,200000,Diesel
649,Audi TDI,Audi,2013,1510000,27000,Diesel
650,Volvo D4,Volvo,2015,1850000,42000,Diesel
651,Toyota VL,Toyota,2014,790000,29000,Petrol
652,Mitsubishi 2.5,Mitsubishi,2015,1725000,37000,Diesel
653,Chevrolet Petrol,Chevrolet,2012,135000,36000,Petrol
654,BMW,BMW,2011,1000000,34000,Diesel
655,Datsun S,Datsun,2018,299999,7000,Petrol
656,Mercedes Class CDI,Mercedes,2009,1225000,76000,Diesel
657,Mahindra,Mahindra,2004,175000,60000,Diesel
658,Volkswagen Diesel,Volkswagen,2011,200000,95000,Diesel
659,Tata GLS,Tata,2017,270000,50000,Diesel
660,Ford Titanium,Ford,2019,525000,0,Petrol
661,Honda GXi,Honda,2006,180000,50000,Petrol
662,Maruti R,Maruti,2008,140000,68000,Petrol
663,Ford 1.5L,Ford,2014,400000,16000,Petrol
664,Maruti Dzire,Maruti,2016,499000,51000,Diesel
665,Maruti 8 III,Maruti,2009,85000,56000,Petrol
666,Maruti LX,Maruti,2004,70000,100000,Petrol
667,Renault Petrol,Renault,2015,550000,36000,Petrol
668,Maruti VXi IV,Maruti,2014,370000,11523,Petrol
669,Maruti Zeta,Maruti,2018,690000,1000,Petrol
670,Honda S,Honda,2009,250000,60000,Petrol
671,Tata eLX,Tata,2016,110000,85000,Diesel
672,Renault PS,Renault,2013,490000,38600,Diesel
673,Mahindra BS,Mahindra,2009,320000,95500,Diesel
674,Maruti LXi,Maruti,2004,68000,56000,Petrol
675,Maruti R III,Maruti,2014,130000,37458,Petrol
676,Maruti Celebration,Maruti,2016,970000,85960,Diesel
677,Audi 40,Audi,2015,3100000,12516,Petrol
678,Hyundai Lite,Hyundai,2018,280000,35000,Petrol
679,Maruti Estilo CNG,Maruti,2009,125000,0,Petrol
680,Mahindra,Mahindra,2008,285000,80000,Diesel
681,Hyundai GLS,Hyundai,2011,165000,45000,Petrol
682,Maruti Dzire,Maruti,2009,250000,51000,Diesel
683,Mahindra,Mahindra,2015,865000,30000,Diesel
684,Mahindra BS,Mahindra,2011,390000,48000,Diesel
685,Hyundai,Hyundai,2003,60000,51000,Petrol
686,Chevrolet Diesel,Chevrolet,2015,215000,90000,Diesel
687,Maruti Dzire,Maruti,2015,475000,43000,Diesel
688,Mahindra,Mahindra,2015,899000,53000,Diesel
689,Toyota 4x4,Toyota,2013,1499000,97000,Diesel
690,Maruti K10,Maruti,2013,240000,20000,Petrol
691,Hyundai,Hyundai,2007,99000,55000,Petrol
692,Maruti Dzire,Maruti,2014,260000,120000,Diesel
693,Hyundai SX,Hyundai,2019,1200000,0,Petrol
694,Hyundai XL Euro,Hyundai,2007,115000,46000,Petrol
695,Hyundai XL III,Hyundai,2009,88000,43200,Petrol
696,Mahindra BS,Mahindra,2011,390000,56000,Diesel
697,Hyundai XL III,Hyundai,2007,135000,42000,Petrol
698,Tata DLS,Tata,2009,90000,30600,Diesel
699,Hyundai 1.2,Hyundai,2011,220000,38000,Petrol
700,Hyundai Magna VTVT,Hyundai,2017,424999,2550,Petrol
701,Hyundai XL Euro,Hyundai,2007,135000,47000,Petrol
702,Honda E,Honda,2005,95000,41000,Petrol
703,Nissan,Nissan,2017,430000,62500,Diesel
704,Honda S,Honda,2005,115000,68000,Petrol
705,Maruti 800,Maruti,2015,215000,50000,Petrol
706,Maruti R III,Maruti,2004,53000,69000,Petrol
707,Maruti VDi,Maruti,2012,500000,48000,Diesel
708,Tata eXeta,Tata,2012,85000,55000,Diesel
709,Maruti E BS,Maruti,2013,165000,25000,Petrol
710,Hyundai Plus,Hyundai,2014,200000,28400,Petrol
711,Hyundai,Hyundai,2014,200000,28000,Petrol
712,Maruti LDi,Maruti,2015,425000,42000,Diesel
713,Hyundai CRDI AT,Hyundai,2012,600000,29000,Diesel
714,Chevrolet B3 BSII,Chevrolet,2005,130000,68485,Diesel
715,Tata XM,Tata,2018,430000,3500,Petrol
716,Tata XZ,Tata,2019,568500,0,Petrol
717,Maruti LXi,Maruti,2006,71000,32000,Petrol
718,Mahindra D,Mahindra,2018,560000,8000,Diesel
719,Ford 1.5,Ford,2014,590000,34000,Diesel
720,Hindustan Classic â€“,Hindustan,1995,750000,37000,Petrol
721,Ford TDCi,Ford,2007,125000,85455,Diesel
722,Hyundai XL Euro,Hyundai,2007,135000,46000,Petrol
723,Hyundai,Hyundai,2002,60000,47000,Petrol
724,Fiat 1.4 Jet,Fiat,2009,120000,64000,Petrol
725,Ford Flair,Ford,2008,95000,46000,Petrol
726,Maruti E BS,Maruti,2017,240000,8000,Petrol
727,Tata LS,Tata,2012,115000,64000,Diesel
728,Mahindra,Mahindra,2015,795000,63000,Diesel
729,Hyundai XL III,Hyundai,2007,55000,65000,Petrol
730,Mahindra,Mahindra,2009,300000,62000,Diesel
731,Hyundai Asta VTVT,Hyundai,2014,320000,41000,Petrol
732,Maruti 800,Maruti,2015,265000,14000,Petrol
733,Toyota,Toyota,2006,160000,40000,Petrol
734,Hyundai,Hyundai,2017,300000,1600,Petrol
735,Tata MKII,Tata,2010,130000,90000,Diesel
736,Maruti VDi,Maruti,2011,250000,58000,Diesel
737,Volkswagen P,Volkswagen,2013,380000,27000,Petrol
738,Maruti 800,Maruti,2003,42000,60000,Petrol
739,Tata XZ,Tata,2017,400000,31000,Petrol
740,Maruti LDi,Maruti,2009,120000,90000,Diesel
741,Maruti VDi,Maruti,2009,120000,90000,Diesel
742,Tata,Tata,2016,130000,150000,Diesel
743,Chevrolet Diesel,Chevrolet,2014,189000,31000,Diesel
744,Mahindra BS,Mahindra,2011,365000,43000,Diesel
745,Hyundai Lite,Hyundai,2013,170000,20000,Petrol
746,Tata FX,Tata,2013,215000,100000,Petrol
747,Tata,Tata,2013,60000,7000,Petrol
748,Hyundai,Hyundai,2017,599999,31000,Petrol
749,Hyundai 1.2,Hyundai,2009,400000,33000,Petrol
750,Hyundai,Hyundai,2016,900000,60000,Diesel
751,Volkswagen,Volkswagen,2013,299999,48000,Diesel
752,Maruti,Maruti,2014,374999,33000,Petrol
753,Tata Petrol,Tata,2015,600000,15000,Petrol
754,Maruti 800,Maruti,2005,70000,47000,Petrol
755,Maruti,Maruti,2005,100000,40000,Petrol
756,Maruti,Maruti,2010,150000,38000,Diesel
757,Maruti 800,Maruti,2017,225000,12500,Petrol
758,Maruti,Maruti,2009,210000,42000,Petrol
759,Hyundai,Hyundai,2014,425000,31000,Petrol
760,Maruti Select,Maruti,2008,162000,60000,Diesel
761,Tata DLX,Tata,2005,60000,80000,Diesel
762,Mahindra 2.2 BSIV,Mahindra,2014,650000,77000,Diesel
763,Toyota E,Toyota,2012,750000,75000,Diesel
764,Mahindra,Mahindra,2010,375000,40000,Diesel
765,Hyundai 1.2,Hyundai,2011,230000,47000,Petrol
766,Maruti,Maruti,2000,35999,60000,Petrol
767,Mahindra,Mahindra,2016,380000,26500,Petrol
768,Mahindra 6,Mahindra,2019,560000,2875,Petrol
769,Datsun,Datsun,2016,285000,13900,Petrol
770,Ford Thunder,Ford,2019,2900000,9000,Diesel
771,Tata,Tata,2005,39999,80000,Diesel
772,Hyundai GL,Hyundai,2006,85000,60000,Petrol
773,Maruti R,Maruti,2016,395000,20000,Petrol
774,Maruti Select,Maruti,2008,175000,58000,Diesel
775,Maruti 800,Maruti,2019,400000,1500,Petrol
776,Toyota Z Seater,Toyota,2011,750000,75000,Diesel
777,Maruti 800,Maruti,2016,250000,2450,Petrol
778,Maruti AX,Maruti,2019,425000,1625,Petrol
779,Volkswagen P,Volkswagen,2017,525000,45000,Petrol
780,Mahindra,Mahindra,2009,130000,65000,Diesel
781,Maruti Std,Maruti,2000,30000,33400,Petrol
782,Mahindra,Mahindra,2011,475000,60123,Diesel
783,Chevrolet LS,Chevrolet,2013,300000,28000,Petrol
784,Hyundai GLS,Hyundai,2003,60000,70000,Petrol
785,Maruti R,Maruti,2006,100000,7000,Petrol
786,Hyundai,Hyundai,2018,260000,25000,Petrol
787,Tata,Tata,2015,100000,100000,Diesel
788,Toyota,Toyota,2013,265000,42000,Petrol
789,Hyundai 1.3,Hyundai,2009,115000,20000,Petrol
790,Toyota,Toyota,2003,180000,100000,Diesel
791,Hyundai,Hyundai,2004,45000,137495,Petrol
792,Tata LS,Tata,2016,50500,91200,Diesel
793,Honda S,Honda,2009,270000,55000,Petrol
794,Tata 75,Tata,2017,290000,120000,Diesel
795,Mahindra,Mahindra,2013,325000,63000,Diesel
796,Tata LX IV,Tata,2016,160000,104000,Diesel
797,Maruti Dzire,Maruti,2016,350000,146000,Diesel
798,Hyundai,Hyundai,2011,290000,40000,Petrol
799,Hyundai Variant,Hyundai,2011,290000,40000,Petrol
800,Chevrolet,Chevrolet,2007,465000,100800,Diesel
801,Maruti,Maruti,2016,325000,150000,Diesel
802,Hyundai,Hyundai,2018,510000,2100,Petrol
803,Honda Petrol,Honda,2016,860000,95000,Petrol
804,Maruti,Maruti,2016,450000,2500,Diesel
805,Hyundai,Hyundai,2006,125000,80000,Petrol
806,Mercedes Class MT,Mercedes,2006,500001,15000,Petrol
807,Maruti LXi,Maruti,2005,95000,65000,Petrol
808,Maruti Dzire,Maruti,2009,250000,51000,Diesel
809,Skoda,Skoda,2009,110000,45000,Petrol
810,Maruti VXI,Maruti,2011,270000,50000,Petrol
811,Tata DLE,Tata,2009,110000,30000,Diesel
812,Toyota,Toyota,2009,300000,132000,Petrol
813,Tata Diesel,Tata,2018,260000,27000,Diesel
814,Mahindra,Mahindra,2013,390000,40000,Diesel
